materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
DIREITO ADMINISTRATIVO;Poder de Polícia (Conceito);Certo/Errado;CESPE;O poder de polícia consiste na faculdade que tem a Administração Pública de condicionar e restringir o uso e gozo de bens, atividades e direitos individuais em benefício do interesse público.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Senhas);Múltipla Escolha;FGV;Para criar uma senha forte, deve-se priorizar a:;Utilização de caracteres especiais, números, letras maiúsculas e minúsculas e um bom comprimento.;Uso de nomes e datas pessoais.;Utilização de apenas letras minúsculas.;Criação de senhas curtas.;Utilização de palavras comuns do dicionário.;A
MATEMÁTICA;Geometria (Área);Múltipla Escolha;VUNESP;A área de um quadrado de lado $x$ é dada pela fórmula:;$4x$;$x^2$;$2x$;$x^3$;$\frac{x}{2}$;B
HISTÓRIA;Primeira República (Sociedade);Múltipla Escolha;ENEM;O período da Primeira República foi marcado por revoltas urbanas e rurais, como a Guerra de Canudos e a Revolta da Vacina. Isso demonstra o(a):;Plena aceitação da República pela população.;Descontentamento social e a falta de participação popular efetiva.;Alto desenvolvimento social e econômico.;Fim da influência da Igreja Católica.;Predomínio da política de Vargas.;B
GEOGRAFIA;Recursos Hídricos (Uso);Múltipla Escolha;FGV;O uso de irrigação por gotejamento na agricultura é uma técnica que visa a:;Aumentar o consumo de água.;Diminuir a produtividade.;Economizar água e evitar o desperdício.;Aumentar a salinidade do solo.;Facilitar o trabalho manual.;C
PORTUGUÊS;Concordância (Haver);Múltipla Escolha;VUNESP;Assinale a frase correta.;Faz calor no verão.;Fazem calores no verão.;Houve protestos ontem.;Houveram protestos ontem.;Tanto A quanto C estão corretas.;E
DIREITO CONSTITUCIONAL;Direito Tributário (Impostos);Certo/Errado;CESPE;Compete privativamente à União instituir impostos sobre grandes fortunas, nos termos de lei complementar.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;VUNESP;A transmissão de dados em uma rede, onde a informação é dividida em pequenos blocos, é feita por:;Frames.;Datagramas.;Pacotes (Packets).;Segmentos.;Células.;C
MATEMÁTICA;Inequações (Solução);Múltipla Escolha;ENEM;O conjunto solução da inequação $-2x + 10 < 0$ é:;$x < 5$;$x > 5$;$x < -5$;$x > -5$;$x = 5$;B
HISTÓRIA;Guerra Fria (Conceito);Múltipla Escolha;FGV;O termo "cortina de ferro" popularizou a divisão ideológica e política entre:;EUA e países asiáticos.;O Bloco Socialista no Leste Europeu e o Bloco Capitalista no Oeste.;A China e a URSS.;A Europa e a América.;O Norte e o Sul global.;B
GEOGRAFIA;Urbanização (Megacidades);Múltipla Escolha;ENEM;A característica mais marcante de uma megalópole é a:;Altíssima taxa de natalidade.;Concentração de indústrias de base.;Junção de duas ou mais metrópoles.;Ausência de problemas sociais.;Ênfase no setor primário.;C
PORTUGUÊS;Regência (Verbo Assistir);Múltipla Escolha;FGV;A regência está correta em:;Assisti o jogo ontem (no sentido de ver).;Assisti ao jogo ontem (no sentido de ver).;Assisti no jogo ontem.;Assisti do jogo ontem.;Assisti pelo jogo ontem.;B
DIREITO ADMINISTRATIVO;Princípio da Moralidade;Certo/Errado;CESPE;O princípio da moralidade se refere apenas à legalidade, não exigindo conduta ética do administrador.;Certo;Errado;;;;Errado
INFORMÁTICA;Software (Sistema);Múltipla Escolha;VUNESP;O Linux é um exemplo de sistema operacional que se caracteriza por ser:;Software proprietário e fechado.;Software livre (Open Source) e de código aberto.;Exclusivo para servidores.;Utilizado apenas em computadores Apple.;Sem interface gráfica.;B
MATEMÁTICA;Juros Simples (Cálculo);Múltipla Escolha;FGV;Qual o juro gerado por R$ 2.000,00 a 1% ao mês por 3 meses?;R$ 20,00;R$ 40,00;R$ 60,00;R$ 80,00;R$ 100,00;C
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;ENEM;O crescimento desordenado das cidades e a falta de saneamento básico, levando a epidemias no século XIX, foram consequências da:;Expansão do feudalismo.;Revolução Industrial.;Guerra Fria.;Revolução Russa.;Colonização da América.;B
GEOGRAFIA;Recursos Naturais (Não-Renovável);Múltipla Escolha;VUNESP;O principal desdobramento do uso excessivo de combustíveis fósseis é:;O aumento da camada de ozônio.;O agravamento do efeito estufa e o aquecimento global.;O aumento das áreas de florestas.;A diminuição das chuvas.;A redução da população mundial.;B
PORTUGUÊS;Conectivos (Condição);Múltipla Escolha;VUNESP;Qual conectivo expressa uma condição?;Visto que;Desde que;Portanto;E;Ou;B
DIREITO CONSTITUCIONAL;Direitos de 1ª Geração (Exemplos);Certo/Errado;CESPE;O direito à greve e o direito à saúde são exemplos de direitos de primeira dimensão (liberdades negativas).;Certo;Errado;;;;Errado
INFORMÁTICA;Segurança (Princípio);Múltipla Escolha;ENEM;O princípio da Disponibilidade na segurança da informação é violado quando:;O sistema está lento.;A informação é acessada por não autorizados.;O sistema não funciona ou o dado não pode ser acessado quando necessário.;O dado é modificado.;O remetente é desconhecido.;C
MATEMÁTICA;Geometria Analítica (Reta);Múltipla Escolha;VUNESP;A reta $y = -5x + 1$ é:;Crescente.;Decrescente.;Constante.;Vertical.;Horizontal.;B
HISTÓRIA;Segunda Guerra Mundial (Aliança);Múltipla Escolha;FGV;Os países que formavam o Eixo na Segunda Guerra Mundial eram:;EUA, URSS e Reino Unido.;Alemanha, Itália e Japão.;França, Polônia e EUA.;China, Japão e Coreia.;Itália, Espanha e Portugal.;B
GEOGRAFIA;Urbanização (Brasil);Múltipla Escolha;FGV;O processo de urbanização no Brasil se intensificou a partir da década de 1950, impulsionado principalmente pelo(a):;Reforma agrária.;Industrialização e o êxodo rural.;Crescimento do setor primário.;Crise do petróleo.;Política de Vargas.;B
PORTUGUÊS;Análise Sintática (Sujeito Simples);Múltipla Escolha;VUNESP;Na frase "O sol brilha intensamente", o núcleo do sujeito é:;Sol;Brilha;Intensamente;O;O sol;A
DIREITO ADMINISTRATIVO;Licitação (Princípios);Certo/Errado;CESPE;O princípio da isonomia na licitação visa garantir tratamento igualitário aos licitantes, sendo admitidas exceções legalmente previstas.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Endereço);Múltipla Escolha;VUNESP;O endereço IP é um endereço lógico, enquanto o endereço MAC é um endereço:;Virtual.;Físico.;Global.;Estático.;Dinâmico.;B
MATEMÁTICA;Progressão Geométrica (PG) (Termo);Múltipla Escolha;FGV;O 6º termo da PG (2, 4, 8, ...) é:;16;32;64;128;256;C
HISTÓRIA;Império Romano (República);Múltipla Escolha;ENEM;O período da história romana caracterizado pela expansão territorial e pelo conflito entre Patrícios e Plebeus foi a:;Monarquia.;República.;Império.;Baixa Idade Média.;Pax Romana.;B
GEOGRAFIA;Relevo (Planalto);Múltipla Escolha;VUNESP;As formas de relevo onde o processo de acumulação de sedimentos é maior que o de erosão são as:;Planaltos.;Planícies.;Montanhas.;Serras.;Chapadas.;B
PORTUGUÊS;Conectivos (Alternância);Múltipla Escolha;FGV;Qual conectivo expressa uma alternativa?;E;Ou;Mas;Portanto;Porque.;B
DIREITO CONSTITUCIONAL;Direito à Educação;Certo/Errado;CESPE;O acesso ao ensino obrigatório e gratuito é direito público subjetivo.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Tipos);Múltipla Escolha;ENEM;Qual categoria de software exige uma licença paga para uso e não permite acesso ao código-fonte?;Software Livre.;Software Proprietário.;Freeware.;Open Source.;Shareware.;B
MATEMÁTICA;Área (Losango);Múltipla Escolha;VUNESP;As diagonais de um losango medem 10 cm e 8 cm. Qual é a sua área?;40 cm²;80 cm²;18 cm²;20 cm²;36 cm²;A
HISTÓRIA;Reforma Protestante (Consequências);Múltipla Escolha;ENEM;Uma das consequências da Reforma Protestante foi o(a):;Fortalecimento do poder papal.;Criação de novas igrejas e o enfraquecimento da Igreja Católica.;Fim das guerras religiosas.;Restauração do absolutismo.;Unificação religiosa da Europa.;B
GEOGRAFIA;Fontes de Energia (Vantagens);Múltipla Escolha;FGV;A energia solar, em relação às termelétricas, possui a principal vantagem de:;Não depender do clima.;Ter alto custo de manutenção.;Ser uma fonte limpa e renovável.;Gerar muita energia em pouco espaço.;Ser a mais antiga.;C
PORTUGUÊS;Regência (Verbo Chegar);Múltipla Escolha;VUNESP;A regência está incorreta em:;Chegamos na cidade ontem.;Chegamos à cidade ontem.;O aluno chegou em casa.;Chegou o dia da prova.;Cheguei à conclusão.;A
DIREITO ADMINISTRATIVO;Princípio da Publicidade;Certo/Errado;CESPE;O princípio da publicidade exige a divulgação oficial dos atos administrativos, sendo o Diário Oficial o meio preferencial.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Malware);Múltipla Escolha;FGV;O malware que se disfarça de programa útil para enganar o usuário e obter acesso a dados é o:;Worm.;Vírus.;Trojan.;Spyware.;Rootkit.;C
MATEMÁTICA;Juros Simples (Taxa);Múltipla Escolha;VUNESP;Um capital de R$ 1.000,00 gerou R$ 100,00 de juros em 10 meses. Qual a taxa mensal de juros simples?;0,5%;1%;2%;5%;10%;B
HISTÓRIA;Ditadura Militar (AI-5);Múltipla Escolha;ENEM;O AI-5 (1968) foi um instrumento que permitiu o endurecimento do regime ao:;Restaurar o sistema multipartidário.;Suspender o Habeas Corpus para crimes políticos e cassar direitos.;Convocar eleições diretas.;Promover a anistia.;Afastar os militares do poder.;B
GEOGRAFIA;Globalização (Aspecto);Múltipla Escolha;ENEM;A atuação de organismos internacionais como o FMI (Fundo Monetário Internacional) e o Banco Mundial reflete o aspecto da globalização:;Cultural.;Político-Econômico.;Militar.;Ambiental.;Social.;B
PORTUGUÊS;Sintaxe (Sujeito Composto);Múltipla Escolha;VUNESP;Na frase "O pai e o filho viajaram", o sujeito é:;Simples.;Composto.;Indeterminado.;Oculto.;Inexistente.;B
DIREITO CONSTITUCIONAL;Direito de Petição;Certo/Errado;CESPE;O direito de petição é garantido, mas pode ser condicionado ao pagamento de taxas.;Certo;Errado;;;;Errado
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;FGV;Qual dispositivo opera na camada de enlace (camada 2 do Modelo OSI) e divide a rede em segmentos, gerenciando o tráfego por endereço MAC?;Roteador.;Hub.;Switch.;Repetidor.;Modem.;C
MATEMÁTICA;Área (Trapézio);Múltipla Escolha;ENEM;A área de um trapézio é 50 cm². Se suas bases medem 8 cm e 12 cm, qual é a altura?;5 cm;8 cm;10 cm;12 cm;20 cm;A
HISTÓRIA;Revolução Francesa (Lema);Múltipla Escolha;VUNESP;O lema "Liberdade, Igualdade e Fraternidade" reflete os ideais de qual movimento histórico?;Revolução Industrial.;Revolução Russa.;Revolução Francesa.;Guerra Fria.;Primeira Guerra Mundial.;C
GEOGRAFIA;Meio Ambiente (Biodiversidade);Múltipla Escolha;FGV;A perda de biodiversidade é um dos principais problemas ambientais do mundo, causada majoritariamente por:;Aumento das áreas de florestas.;Criação de parques nacionais.;Destruição de habitats naturais e poluição.;Diminuição da população mundial.;Aumento da produção de alimentos.;C
PORTUGUÊS;Concordância (Casos Especiais);Múltipla Escolha;FGV;Assinale a frase incorreta.;É necessário cautela.;É necessário muita cautela.;Água é bom.;É proibida a entrada de animais.;É bom a água filtrada.;C
DIREITO ADMINISTRATIVO;Revogação (Conceito);Certo/Errado;CESPE;A revogação do ato administrativo decorre de mérito (conveniência e oportunidade) e não de ilegalidade.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Sistema);Múltipla Escolha;ENEM;O sistema operacional é classificado como qual tipo de software?;Aplicativo.;Básico (Sistema).;Utilitário.;Freeware.;Malware.;B
MATEMÁTICA;Progressão Geométrica (PG) (Soma);Múltipla Escolha;VUNESP;A soma dos 4 primeiros termos da PG (1, 2, 4, 8, ...) é:;10;15;16;31;32;B
HISTÓRIA;Guerra Fria (Oposição);Múltipla Escolha;VUNESP;O Pacto de Varsóvia, assinado em 1955, foi uma aliança militar que representava o bloco:;Capitalista.;Socialista.;Neutro.;Asiático.;Africano.;B
GEOGRAFIA;Recursos Hídricos (Uso);Múltipla Escolha;ENEM;O uso mais racional e eficiente da água na agricultura é obtido pelo sistema de:;Irrigação por inundação.;Irrigação por aspersão.;Irrigação por gotejamento ou microaspersão.;Irrigação por pivô central.;Canais abertos.;C
PORTUGUÊS;Pronomes Pessoais (Função);Múltipla Escolha;FGV;O pronome "mim" só pode ser usado com função de:;Sujeito.;Objeto direto.;Complemento nominal.;Objeto indireto.;Complemento verbal (acompanhado de preposição).;E
DIREITO CONSTITUCIONAL;Direitos de 2ª Geração (Exemplos);Certo/Errado;CESPE;O direito à educação, à saúde e ao trabalho são exemplos de direitos de segunda dimensão (positivos).;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Princípio);Múltipla Escolha;VUNESP;A Não-Repúdio em segurança da informação é alcançada por meio de:;Criptografia simétrica.;Uso de firewall.;Assinatura digital e logs de auditoria.;Acesso por senha.;Backup em nuvem.;C
MATEMÁTICA;Progressão Aritmética (PA) (Termo);Múltipla Escolha;FGV;O 5º termo da PA (10, 15, 20, ...) é:;25;30;35;40;45;B
HISTÓRIA;Primeira República (Sociedade);Múltipla Escolha;ENEM;A Revolta da Vacina, ocorrida no Rio de Janeiro (1904), foi uma reação popular contra:;O aumento de impostos.;A obrigatoriedade da vacinação e a reforma urbana autoritária.;A ditadura militar.;A falta de liberdade de expressão.;O voto de cabresto.;B
GEOGRAFIA;Urbanização (Brasil);Múltipla Escolha;VUNESP;A megalópole Rio-São Paulo é um exemplo de:;Conurbação entre duas metrópoles.;Concentração industrial.;Desmetropolização.;Macrocefalia urbana.;Região metropolitana.;A
PORTUGUÊS;Sintaxe (Adjunto Adnominal);Múltipla Escolha;FGV;Na frase "A casa de madeira é antiga", o termo sublinhado é:;Objeto indireto.;Adjunto adnominal.;Complemento nominal.;Aposto.;Predicativo do objeto.;B
DIREITO ADMINISTRATIVO;Poder Hierárquico;Certo/Errado;CESPE;O poder hierárquico é o poder-dever de organizar e coordenar a atividade da Administração, sendo inerente ao regime da função pública.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Modelo OSI);Múltipla Escolha;VUNESP;A camada de Aplicação (camada 7 do Modelo OSI) é responsável por:;Roteamento de pacotes.;Transferência de quadros.;Gerenciamento de tráfego.;Interação com o usuário e protocolos de alto nível (HTTP, FTP).;Endereçamento lógico.;D
MATEMÁTICA;Juros Simples (Taxa);Múltipla Escolha;ENEM;Um capital de R$ 500,00 gerou R$ 100,00 de juros em 10 meses. Qual a taxa de juros simples anual?;20%;10%;24%;12%;2%;C
HISTÓRIA;Período Colonial (Economia);Múltipla Escolha;VUNESP;O sistema de plantation (latifúndio, monocultura e escravidão) foi a base da economia colonial, voltada para:;O mercado interno.;O mercado externo (exportação).;A subsistência.;A produção artesanal.;A mineração.;B
GEOGRAFIA;Globalização (Aspecto);Múltipla Escolha;FGV;O surgimento e a popularização da internet no final do século XX e início do XXI são um marco da globalização no aspecto:;Militar.;Cultural e informacional.;Agrário.;Político.;Financeiro.;B
PORTUGUÊS;Conectivos (Explicativa);Múltipla Escolha;VUNESP;Qual conectivo introduz uma oração coordenada sindética explicativa?;Portanto;Porque;Contudo;Ou;E;B
DIREITO CONSTITUCIONAL;Nacionalidade (Casos);Certo/Errado;CESPE;A extradição de brasileiro nato é vedada em qualquer hipótese.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Sistema);Múltipla Escolha;ENEM;A principal função do sistema operacional é:;Realizar cópias de segurança.;Gerenciar e coordenar os recursos de hardware e software do computador.;Proteger contra vírus.;Acessar a internet.;Gerar relatórios.;B
MATEMÁTICA;Equação do 2º Grau (Soma e Produto);Múltipla Escolha;FGV;O produto das raízes de $x^2 - 7x + 10 = 0$ é:;10;7;5;2;-7;A
HISTÓRIA;Revolução Francesa (Girondinos);Múltipla Escolha;VUNESP;Os Girondinos, facção política da Revolução Francesa, representavam majoritariamente os interesses da:;Alta burguesia.;Camada mais pobre.;Aristocracia.;Igreja.;Pequena burguesia.;A
GEOGRAFIA;População (Conceito);Múltipla Escolha;ENEM;O saldo migratório de um país é o resultado da diferença entre:;Taxa de natalidade e taxa de mortalidade.;População urbana e população rural.;Imigração e emigração.;População absoluta e relativa.;PIB e IDH.;C
PORTUGUÊS;Regência (Verbo Implicar);Múltipla Escolha;VUNESP;A regência correta é:;A felicidade implica renúncia.;A felicidade implica em renúncia.;A felicidade implica com renúncia.;A felicidade implica na renúncia.;A felicidade implica para renúncia.;A
DIREITO ADMINISTRATIVO;Bens Públicos (Conceito);Certo/Errado;CESPE;Os bens públicos são todos aqueles que pertencem às pessoas jurídicas de direito público (União, Estados, Municípios).;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Confidencialidade);Múltipla Escolha;VUNESP;A confidencialidade de um dado é protegida principalmente pelo uso de:;Backup.;Firewall.;Criptografia.;Antivírus.;Endereço MAC.;C
MATEMÁTICA;Geometria (Polígono);Múltipla Escolha;FGV;O número de diagonais de um quadrado é:;1;2;3;4;5;B
HISTÓRIA;Guerra Fria (Oposição);Múltipla Escolha;ENEM;A corrida armamentista entre EUA e URSS durante a Guerra Fria levou ao desenvolvimento de:;Armas químicas.;Armas biológicas.;Armas nucleares.;Armas convencionais.;Mísseis de curto alcance.;C
GEOGRAFIA;Fontes de Energia (Vantagens);Múltipla Escolha;VUNESP;A principal vantagem da energia hidrelétrica é:;Não gerar impacto ambiental.;Ser renovável e não emitir gases poluentes durante a operação.;Ter baixo custo de instalação.;Ser totalmente previsível.;Gerar energia em locais de seca.;B
PORTUGUÊS;Análise Sintática (Adjunto Adverbial);Múltipla Escolha;VUNESP;Na frase "Viajaremos rapidamente", o termo sublinhado é adjunto adverbial de:;Tempo.;Lugar.;Modo.;Causa.;Intensidade.;C
DIREITO CONSTITUCIONAL;Direitos de 3ª Geração (Meio Ambiente);Certo/Errado;CESPE;O direito a um meio ambiente equilibrado é um direito individual de primeira dimensão.;Certo;Errado;;;;Errado
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;FGV;O que é um "servidor proxy" em uma rede?;Um servidor que armazena senhas.;Um servidor que atua como intermediário entre o cliente e a internet, filtrando e armazenando conteúdo em cache.;Um servidor de e-mail.;Um servidor de impressão.;Um tipo de roteador.;B
MATEMÁTICA;Sistemas Lineares (Problema);Múltipla Escolha;VUNESP;A soma de dois números é 20, e um é o triplo do outro. O menor número é:;15;5;10;8;12;B
HISTÓRIA;Reforma Protestante (Doutrina);Múltipla Escolha;FGV;A doutrina de "Sola Scriptura" (Somente a Escritura), defendida pelos reformadores, significa:;A Bíblia é a única fonte de autoridade religiosa.;A salvação é pelas obras.;O Papa é infalível.;A tradição da Igreja é superior à Bíblia.;A Bíblia deve ser queimada.;A
GEOGRAFIA;Urbanização (Brasil);Múltipla Escolha;ENEM;A metropolização brasileira foi fortemente marcada pelo desenvolvimento da:;Agricultura de subsistência.;Indústria automobilística e a construção de Brasília.;Mineração no Nordeste.;Exploração do pau-brasil.;Geração de energia solar.;B
PORTUGUÊS;Concordância Verbal (Sujeito Composto);Múltipla Escolha;VUNESP;A concordância verbal está correta em:;O aluno e o professor chegaram cedo.;Chegou cedo o aluno e o professor.;O aluno e o professor chegou cedo.;O aluno e o professor chegou cedo.;Chegaram cedo o aluno e o professor.;A
DIREITO ADMINISTRATIVO;Princípio da Legalidade (Aplicação);Certo/Errado;CESPE;No Direito Administrativo, a regra é que o administrador só pode fazer o que a lei expressamente autoriza ou determina.;Certo;Errado;;;;Certo
INFORMÁTICA;Hardware (Memória);Múltipla Escolha;ENEM;O termo "memória volátil" se refere a memórias que:;São lentas.;Perdem os dados quando a energia é cortada.;Só podem ser lidas.;São muito grandes.;São permanentes.;B
MATEMÁTICA;Inequações do 2º Grau;Múltipla Escolha;FGV;O conjunto solução da inequação $x^2 \geq 9$ é:;$x \geq 3$;$-3 \leq x \leq 3$;$x \leq -3$ ou $x \geq 3$;$x > 3$;$x < -3$;C
HISTÓRIA;Ditadura Militar (Economia);Múltipla Escolha;VUNESP;O chamado "Milagre Econômico" brasileiro, apesar do crescimento do PIB, resultou em:;Redução da desigualdade social.;Aumento da concentração de renda.;Estabilidade política.;Afastamento dos militares.;Fortalecimento da democracia.;B
GEOGRAFIA;Regionalização (BRICS);Múltipla Escolha;ENEM;O agrupamento BRICS é uma aliança baseada em:;Acordos militares.;Interesses ambientais e sociais.;Cooperação econômica e política entre grandes economias emergentes.;Disputas territoriais.;Ajuda humanitária.;C
PORTUGUÊS;Ortografia (Porque/Por Quê);Múltipla Escolha;VUNESP;O uso de "por que" está incorreto em:;Não sei o porquê de sua raiva.;Por que você não veio?;Ele se atrasou porque o trânsito estava ruim.;Você não veio por quê?;Ele não veio, porquê estava doente.;E
DIREITO CONSTITUCIONAL;Direito à Segurança;Certo/Errado;CESPE;A segurança é direito social, devendo ser garantida pelo Estado mediante atuação exclusiva das Forças Armadas.;Certo;Errado;;;;Errado
INFORMÁTICA;Segurança (Princípios);Múltipla Escolha;ENEM;O que garante a Autenticidade de um usuário em um sistema?;Firewall.;Backup.;Nome de usuário e senha (credenciais).;Criptografia.;Acesso à internet.;C
MATEMÁTICA;Juros Simples (Cálculo);Múltipla Escolha;VUNESP;O montante de um capital de R$ 500,00 aplicado a juros simples de 1% ao mês por 4 meses é:;R$ 520,00;R$ 510,00;R$ 504,00;R$ 505,00;R$ 540,00;A
HISTÓRIA;Revolução Industrial (Invenção);Múltipla Escolha;FGV;A invenção que revolucionou o transporte terrestre e foi fundamental na Segunda Revolução Industrial foi o(a):;Máquina a vapor.;Motor de combustão interna.;Tear mecânico.;Eletricidade.;Telégrafo.;B
GEOGRAFIA;Recursos Hídricos (Uso);Múltipla Escolha;VUNESP;O assoreamento de rios é um problema ambiental causado principalmente pelo(a):;Construção de barragens.;Retirada da mata ciliar (vegetação das margens).;Poluição industrial.;Chuva ácida.;Geração de energia.;B
PORTUGUÊS;Conectivos (Adversidade);Múltipla Escolha;FGV;Qual conectivo expressa uma oposição?;Visto que;Conforme;Contudo;Portanto;Ou;C
DIREITO ADMINISTRATIVO;Atos (Vícios);Certo/Errado;CESPE;O vício de legalidade de um ato administrativo pode ocorrer no sujeito, objeto, forma, motivo ou finalidade.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;VUNESP;A rede que abrange uma cidade ou campus universitário é a:;LAN.;WAN.;MAN (Metropolitan Area Network).;PAN.;GAN.;C
MATEMÁTICA;Geometria (Área);Múltipla Escolha;ENEM;A área de um triângulo com base 6 e altura 4 é:;10;24;12;20;8;C
HISTÓRIA;Primeira Guerra Mundial (Causa);Múltipla Escolha;VUNESP;A principal causa imediata que deflagrou a Primeira Guerra Mundial foi:;A Crise de 1929.;O assassinato do Arquiduque Francisco Ferdinando.;A Guerra Franco-Prussiana.;A formação do Eixo.;A Revolução Russa.;B
GEOGRAFIA;Climas (Brasil);Múltipla Escolha;FGV;O clima equatorial úmido é caracterizado por:;Baixa umidade e temperaturas elevadas.;Temperaturas elevadas e chuvas abundantes o ano todo.;Invernos rigorosos e secos.;Verões chuvosos e invernos frios.;Grande amplitude térmica.;B
PORTUGUÊS;Sintaxe (Período);Múltipla Escolha;VUNESP;O período composto por coordenação e subordinação é chamado de:;Período simples.;Período composto por subordinação.;Período composto por coordenação.;Período misto.;Período complexo.;D
DIREITO CONSTITUCIONAL;Remédios (Habeas Corpus);Certo/Errado;CESPE;O Habeas Corpus é uma ação constitucional gratuita, visando à proteção da liberdade de locomoção.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Sistema);Múltipla Escolha;FGV;O software que gerencia o hardware do computador e fornece uma interface para o usuário é o:;Aplicativo.;Sistema Operacional.;Driver.;Firmware.;Middleware.;B
MATEMÁTICA;Progressão Aritmética (PA) (Soma);Múltipla Escolha;ENEM;A soma dos 5 primeiros termos da PA (3, 6, 9, ...) é:;15;30;45;60;75;C
HISTÓRIA;Idade Média (Sistema);Múltipla Escolha;VUNESP;O sistema econômico, social e político predominante na Europa Ocidental durante a Idade Média foi o:;Capitalismo.;Socialismo.;Feudalismo.;Escravismo.;Comunismo.;C
GEOGRAFIA;Globalização (Aspecto);Múltipla Escolha;ENEM;A formação de blocos econômicos (como o Mercosul e a União Europeia) é um reflexo da globalização no aspecto:;Cultural.;Político-Econômico.;Militar.;Ambiental.;Social.;B
PORTUGUÊS;Regência (Verbo Perdoar);Múltipla Escolha;VUNESP;A regência correta é:;Perdoei ao aluno, mas não ao erro.;Perdoei o aluno e o erro.;Perdoei o aluno, mas não o erro.;Perdoei o aluno, mas não o erro (no sentido de objeto direto).;Perdoei ao aluno e ao erro.;A
DIREITO ADMINISTRATIVO;Licitação (Dispensa);Certo/Errado;CESPE;A dispensa de licitação é cabível em casos previstos em lei, como emergência ou calamidade pública.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Malware);Múltipla Escolha;ENEM;O Spyware é um programa que tem como objetivo:;Criptografar arquivos.;Sobrecaregar o sistema.;Coletar informações pessoais do usuário sem seu consentimento.;Destruir o hardware.;Acelerar o computador.;C
MATEMÁTICA;Função Afim (Gráfico);Múltipla Escolha;VUNESP;A reta que representa uma função constante é:;Inclinada.;Vertical.;Horizontal.;Paralela ao eixo y.;Cruzando a origem.;C
HISTÓRIA;Revolução Industrial (Mão de Obra);Múltipla Escolha;FGV;A Revolução Industrial foi facilitada na Inglaterra pela existência da mão de obra abundante, resultado dos:;Ganhos de guerra.;Atos de Navegação.;Cercamentos (Enclosures).;Descobrimentos.;Escravismo.;C
GEOGRAFIA;População (Conceito);Múltipla Escolha;VUNESP;O número de nascidos vivos por mil habitantes em um ano é a:;Taxa de mortalidade.;Taxa de fecundidade.;Taxa de natalidade.;Expectativa de vida.;Densidade demográfica.;C
PORTUGUÊS;Concordância (Haja Vista);Múltipla Escolha;FGV;A concordância está correta em:;Haja vistas as provas.;Haja vista as provas.;Hajam vista as provas.;Haja vista aos provas.;Haja vistos as provas.;B
DIREITO CONSTITUCIONAL;Poder Judiciário (Garantias);Certo/Errado;CESPE;A vitaliciedade é uma garantia que se adquire após dois anos de exercício no cargo de juiz.;Certo;Errado;;;;Errado
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;ENEM;O que é "Largura de Banda" (Bandwidth) em redes?;O número de dispositivos conectados.;O atraso na transmissão.;A capacidade de um canal transmitir dados por segundo.;O tipo de cabo utilizado.;O protocolo de segurança.;C
MATEMÁTICA;Geometria (Perímetro);Múltipla Escolha;FGV;O perímetro de um triângulo equilátero de lado 6 cm é:;12 cm;18 cm;36 cm;24 cm;30 cm;B
HISTÓRIA;Brasil Império (Segundo Reinado);Múltipla Escolha;VUNESP;A Lei de Terras (1850), no Segundo Reinado, dificultou o acesso à terra para:;Os grandes fazendeiros.;Os imigrantes e ex-escravos.;A nobreza.;A Igreja.;Os coronéis.;B
GEOGRAFIA;Recursos Naturais (Não-Renovável);Múltipla Escolha;FGV;A principal desvantagem do uso de combustíveis fósseis é:;O alto custo.;A poluição e o esgotamento das reservas.;A dificuldade de transporte.;O baixo poder calorífico.;Serem renováveis.;B
PORTUGUÊS;Sintaxe (Oração Reduzida);Múltipla Escolha;VUNESP;Na frase "Ao sair, ele me cumprimentou", a oração sublinhada é reduzida de:;Infinitivo.;Gerúndio.;Particípio.;Subordinada adverbial temporal.;Subordinada substantiva.;A
DIREITO ADMINISTRATIVO;Princípio da Impessoalidade;Certo/Errado;CESPE;O princípio da impessoalidade veda a promoção pessoal de agentes públicos com publicidade de atos, programas, obras, serviços e campanhas que contenham nomes, símbolos ou imagens que caracterizem promoção pessoal de autoridades ou servidores públicos.;Certo;Errado;;;;Certo
